obs_mode,temporal_mode,model,n_tasks,action_accuracy_mean,action_accuracy_sem,greedy_success_mean,greedy_success_sem
sparse_aliased,temporal_dropout,lin_sequence_front_bands_r5_l8,11,0.5855054667554668,0.0586772483143458,0.18416305916305917,0.04327797150106376
sparse_aliased,temporal_dropout,memoryless_linear,11,0.5650840825840826,0.05873630127446815,0.1353896103896104,0.06328752267559873
sparse_aliased,temporal_dropout,memoryless_mlp,11,0.5650840825840826,0.05873630127446815,0.1353896103896104,0.06328752267559873
sparse_aliased,temporal_dropout,numpy_rnn,11,0.5918210955710955,0.058967165496056205,0.08452380952380953,0.03610714660380813
sparse_aliased,temporal_dropout,reservoir_block_hybrid,11,0.5299914668664669,0.051062951696592106,0.15667388167388172,0.04392289643542544
sparse_aliased,temporal_dropout,reservoir_diagonal,11,0.5222592685092685,0.06533580909561262,0.15494227994227994,0.04440130622790722
sparse_aliased,temporal_dropout,reservoir_low_rank,11,0.5105918387168388,0.05840818887555569,0.15303030303030304,0.049861557136879245
sparse_aliased,temporal_dropout,reservoir_nilpotent,11,0.5778629009879009,0.06472160700032603,0.18867243867243866,0.05566193596675499
sparse_aliased,temporal_dropout,reservoir_orthogonal,11,0.5435362554112554,0.05554048963032829,0.16580086580086578,0.04395026545633269
sparse_aliased,temporal_dropout,reservoir_oscillatory,11,0.5107044344544345,0.057550476557207755,0.15627705627705626,0.047367354860039096
sparse_aliased,temporal_dropout,reservoir_random,11,0.5451973026973028,0.056736017673589,0.15043290043290042,0.03971634399067193
sparse_aliased,temporal_dropout,reservoir_sparse,11,0.5127833277833278,0.05428249016210072,0.154004329004329,0.0468744226483743
sparse_aliased,temporal_dropout,reservoir_symmetric,11,0.537215145965146,0.05718191030105206,0.14783549783549785,0.042963644446708
sparse_aliased,temporal_full,lin_sequence_all_units_r3_l4,11,0.6425214368964369,0.07287103614640658,0.23246753246753246,0.06549374066646632
sparse_aliased,temporal_full,lin_sequence_front_bands_r1_l2,11,0.6086410811410811,0.07305527032050765,0.15750360750360748,0.06957770052481241
sparse_aliased,temporal_full,lin_sequence_front_bands_r1_l4,11,0.6523801892551894,0.06993606416516235,0.19927849927849925,0.05870065310713252
sparse_aliased,temporal_full,lin_sequence_front_bands_r1_l8,11,0.7464896908646907,0.08323181239497517,0.3683982683982684,0.11392131752350697
sparse_aliased,temporal_full,lin_sequence_front_bands_r3_l2,11,0.6412622100122101,0.07706527932431202,0.19891774891774885,0.06119540977702993
sparse_aliased,temporal_full,lin_sequence_front_bands_r3_l4,11,0.6831329087579089,0.07447517960326991,0.2281024531024531,0.06513562701479847
sparse_aliased,temporal_full,lin_sequence_front_bands_r3_l8,11,0.7305533355533356,0.0825752383437716,0.3506493506493506,0.1089411151295845
sparse_aliased,temporal_full,lin_sequence_front_bands_r5_l2,11,0.6506693306693306,0.07285693900803883,0.23665223665223667,0.06598400029891137
sparse_aliased,temporal_full,lin_sequence_front_bands_r5_l4,11,0.7020652958152959,0.07341475510966698,0.3115800865800865,0.08980085189998793
sparse_aliased,temporal_full,lin_sequence_front_bands_r5_l8,11,0.744649100899101,0.07479034452868381,0.34967532467532464,0.11254728930922048
sparse_aliased,temporal_full,memoryless_linear,11,0.6081522644022644,0.07086617924422586,0.1892857142857143,0.07302032344175877
sparse_aliased,temporal_full,memoryless_mlp,11,0.6081522644022644,0.07086617924422586,0.1892857142857143,0.07302032344175877
sparse_aliased,temporal_full,numpy_rnn,11,0.6510716366966368,0.06374104376876671,0.07077922077922079,0.030251966871545462
sparse_aliased,temporal_full,reservoir_block_hybrid,11,0.6576320207570208,0.06628854103139567,0.2789321789321789,0.0775153392302912
sparse_aliased,temporal_full,reservoir_diagonal,11,0.6794248112998112,0.06796585060769304,0.28084415584415584,0.07361314024867463
sparse_aliased,temporal_full,reservoir_low_rank,11,0.62125222000222,0.07095678173944561,0.29776334776334773,0.08099727260089241
sparse_aliased,temporal_full,reservoir_nilpotent,11,0.7103912060162061,0.07840109744380382,0.3155483405483405,0.10249555676903968
sparse_aliased,temporal_full,reservoir_orthogonal,11,0.7072240259740259,0.07730031222024265,0.3289321789321789,0.09576484403613186
sparse_aliased,temporal_full,reservoir_oscillatory,11,0.6495865245865245,0.06982383810500475,0.2871572871572871,0.07646039685844383
sparse_aliased,temporal_full,reservoir_random,11,0.6470248501498501,0.07069983552473966,0.30501443001442996,0.08380752655296907
sparse_aliased,temporal_full,reservoir_sparse,11,0.6641960816960817,0.07164703966083438,0.30844155844155846,0.08537043375259744
sparse_aliased,temporal_full,reservoir_symmetric,11,0.6699133505383505,0.0683788574889796,0.3315295815295815,0.08629540136963063
vector,temporal_cue_then_blank,lin_sequence_all_units_r3_l4,11,0.5607157425907426,0.05653809131406174,0.20270562770562772,0.0535943999218893
vector,temporal_cue_then_blank,lin_sequence_front_bands_r1_l2,11,0.505702491952492,0.0648019806635043,0.10054112554112553,0.043778975926318485
vector,temporal_cue_then_blank,lin_sequence_front_bands_r1_l4,11,0.5345424020424021,0.055304997816570355,0.1490981240981241,0.04461111075520918
vector,temporal_cue_then_blank,lin_sequence_front_bands_r1_l8,11,0.6758861971361971,0.07550681417941373,0.30476190476190473,0.08677124760081413
vector,temporal_cue_then_blank,lin_sequence_front_bands_r3_l2,11,0.5240526834276834,0.051593193724161254,0.16309523809523807,0.0482947193973175
vector,temporal_cue_then_blank,lin_sequence_front_bands_r3_l4,11,0.5788154900654902,0.05942544391412045,0.20519480519480518,0.05266477868814749
