task,topology,aliasing,obs_mode,cue_visibility,temporal_mode,dataset_seed,model,state_dim,n_train,n_test,decision_fraction,action_accuracy,decision_accuracy
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,history_h8,96,130,56,0.9285714285714286,0.39285714285714285,0.34615384615384615
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,hybrid_vector_history_h8,104,130,56,0.9285714285714286,0.5535714285714286,0.5192307692307693
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,numpy_rnn_h32,32,130,56,0.9285714285714286,0.2857142857142857,0.28846153846153844
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,reservoir_diagonal_h32,32,130,56,0.9285714285714286,0.44642857142857145,0.4230769230769231
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,reservoir_nilpotent_h32,32,130,56,0.9285714285714286,0.30357142857142855,0.2692307692307692
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4111,lin_block_r3_l16,216,130,56,0.9285714285714286,0.39285714285714285,0.34615384615384615
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,memoryless_linear,8,130,56,0.9107142857142857,0.39285714285714285,0.35294117647058826
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,history_h8,64,130,56,0.9107142857142857,0.35714285714285715,0.29411764705882354
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,hybrid_vector_history_h8,72,130,56,0.9107142857142857,0.6071428571428571,0.5686274509803921
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,numpy_rnn_h32,32,130,56,0.9107142857142857,0.4107142857142857,0.37254901960784315
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,reservoir_diagonal_h32,32,130,56,0.9107142857142857,0.375,0.3333333333333333
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,reservoir_nilpotent_h32,32,130,56,0.9107142857142857,0.35714285714285715,0.3137254901960784
room_graph_tree_like,tree_like,low,vector,cue_gap,temporal_cue_then_blank,4017,lin_block_r3_l16,144,130,56,0.9107142857142857,0.3392857142857143,0.29411764705882354
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,memoryless_linear,12,130,56,0.9107142857142857,0.3392857142857143,0.35294117647058826
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,history_h8,96,130,56,0.9107142857142857,0.35714285714285715,0.29411764705882354
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,hybrid_vector_history_h8,104,130,56,0.9107142857142857,0.6071428571428571,0.5686274509803921
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,numpy_rnn_h32,32,130,56,0.9107142857142857,0.3392857142857143,0.35294117647058826
room_graph_tree_like,tree_like,high,sparse_aliased,cue_gap,temporal_cue_then_blank,4117,reservoir_diagonal_h32,32,130,56,0.9107142857142857,0.42857142857142855,0.43137254901960786
