task,basis,family,dim,delay,accuracy,target_norm,adjacent_lag_similarity
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,60,0.5091666666666667,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,64,0.49833333333333335,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,68,0.48833333333333334,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,72,0.4683333333333333,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,76,0.5316666666666666,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,80,0.5066666666666667,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,84,0.5108333333333334,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,88,0.4691666666666667,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,92,0.5058333333333334,0.0,nan
delayed_cue_with_distractors,threshold_osc_r099_m48,thresholded_oscillatory,96,96,0.4975,0.0,nan
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,4,0.9891666666666666,1.0,0.9238795325112867
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,8,0.9283333333333333,1.0,0.9238795325112867
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,12,0.8791666666666667,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,16,0.8241666666666667,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,20,0.8291666666666667,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,24,0.805,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,28,0.785,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,32,0.76,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,36,0.7158333333333333,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,40,0.7266666666666667,1.0,0.9238795325112866
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,44,0.7141666666666666,1.0,0.9238795325112872
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,48,0.7183333333333334,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,52,0.71,1.0,0.923879532511286
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,56,0.6991666666666667,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,60,0.6991666666666667,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,64,0.6941666666666667,1.0,0.9238795325112872
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,68,0.6866666666666666,1.0,0.9238795325112859
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,72,0.6916666666666667,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,76,0.65,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,80,0.6675,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,84,0.6541666666666667,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,88,0.6791666666666667,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,92,0.6466666666666666,1.0,0.9238795325112873
delayed_cue_with_distractors,matched_phase_osc_T16,matched_phase_oscillatory,2,96,0.6375,1.0,0.9238795325112873
